symbol,shares,entry_price,entry_date,current_price,current_value,profit,profit_pct,days_held,side,strategy
ADBE,14,366.45,2025-07-17,365.79,5121.06,-9.24,-0.18,4,long,nGS
ACGL,112,89.07,2025-07-16,88.35,9895.2,-80.64,-0.81,5,long,nGS
AIZ,26,191.07,2025-07-14,188.07,4889.82,-78.0,-1.57,7,long,nGS
AVB,25,200.39,2025-04-09,202.63,5065.75,56.0,1.12,103,long,nGS
BR,22,232.29,2025-04-09,239.11,5260.42,150.04,2.94,103,long,nGS
CAH,60,167.63,2025-07-07,159.56,9573.6,-484.2,-4.81,14,long,nGS
CI,16,305.82,2025-07-16,295.71,4731.36,-161.76,-3.31,5,long,nGS
DRI,24,208.25,2025-07-16,209.54,5028.96,30.96,0.62,5,long,nGS
DVN,153,32.78,2025-07-17,32.85,5026.05,10.71,0.21,4,long,nGS
EOG,81,123.95,2025-07-08,117.68,9532.08,-507.87,-5.06,13,long,nGS
ESS,18,271.95,2025-04-09,287.37,5172.66,277.56,5.67,103,long,nGS
FFIV,34,295.75,2025-06-27,302.17,10273.78,218.28,2.17,24,long,nGS
HES,67,150.23,2025-07-08,148.97,9980.99,-84.42,-0.84,13,long,nGS
IFF,67,75.09,2025-07-01,76.0,5092.0,60.97,1.21,20,long,nGS
NTAP,95,105.72,2025-06-27,108.37,10295.15,251.75,2.51,24,long,nGS
NWSA,335,29.88,2025-07-16,29.86,10003.1,-6.7,-0.07,5,long,nGS
PM,55,180.99,2025-07-10,178.73,9830.15,-124.3,-1.25,11,long,nGS
PRU,48,103.13,2025-07-17,103.27,4956.96,6.72,0.14,4,long,nGS
RSG,21,240.51,2025-07-09,240.5,5050.5,-0.21,-0.0,12,long,nGS
TXT,118,84.45,2025-07-15,85.0,10030.0,64.9,0.65,6,long,nGS
MMM,-33,153.23,2025-07-18,153.23,5056.59,0.0,0.0,3,short,nGS
AFL,-98,101.91,2025-07-09,101.83,9979.34,7.84,0.08,12,short,nGS
APD,-17,286.65,2025-07-15,295.31,5020.27,-147.22,-2.93,6,short,nGS
AMZN,-23,219.36,2025-07-08,226.13,5200.99,-155.71,-2.99,13,short,nGS
ADI,-21,240.42,2025-07-15,241.85,5078.85,-30.03,-0.59,6,short,nGS
ANSS,-13,374.3,2025-07-16,374.3,4865.9,0.0,0.0,5,short,nGS
APO,-33,152.0,2025-07-18,152.0,5016.0,0.0,0.0,3,short,nGS
CHRW,-51,97.48,2025-07-18,97.48,4971.48,0.0,0.0,3,short,nGS
CAT,-12,413.71,2025-07-18,413.71,4964.52,0.0,0.0,3,short,nGS
CRL,-32,154.42,2025-07-15,154.48,4943.36,-1.92,-0.04,6,short,nGS
SCHW,-55,91.61,2025-07-15,95.8,5269.0,-230.45,-4.37,6,short,nGS
COP,-109,91.64,2025-07-18,91.64,9988.76,0.0,0.0,3,short,nGS
CEG,-16,317.99,2025-07-15,321.42,5142.72,-54.88,-1.07,6,short,nGS
DVA,-35,141.84,2025-07-09,141.16,4940.6,23.8,0.48,12,short,nGS
DASH,-21,238.01,2025-07-01,239.17,5022.57,-24.36,-0.49,20,short,nGS
DOV,-27,187.07,2025-07-15,188.24,5082.48,-31.59,-0.62,6,short,nGS
DHI,-38,131.9,2025-07-03,131.8,5008.4,3.8,0.08,18,short,nGS
EBAY,-65,77.22,2025-07-15,78.14,5079.1,-59.8,-1.18,6,short,nGS
EQR,-152,65.64,2025-06-25,67.17,10209.84,-232.56,-2.28,26,short,nGS
FAST,-116,43.27,2025-07-11,46.06,5342.96,-323.64,-6.06,10,short,nGS
FE,-251,39.88,2025-07-03,40.78,10235.78,-225.9,-2.21,18,short,nGS
FCX,-110,45.59,2025-07-09,44.8,4928.0,86.9,1.76,12,short,nGS
GE,-19,260.28,2025-07-17,263.27,5002.13,-56.81,-1.14,4,short,nGS
DOC,-274,18.23,2025-07-15,18.32,5019.68,-24.66,-0.49,6,short,nGS
HST,-306,16.33,2025-07-15,16.14,4938.84,58.14,1.18,6,short,nGS
HWM,-27,184.3,2025-07-16,190.49,5143.23,-167.13,-3.25,5,short,nGS
INCY,-73,68.37,2025-06-27,67.86,4953.78,37.23,0.75,24,short,nGS
IQV,-31,162.02,2025-07-09,160.63,4979.53,43.09,0.87,12,short,nGS
J,-37,133.72,2025-07-15,138.67,5130.79,-183.15,-3.57,6,short,nGS
MAR,-18,274.9,2025-07-15,272.58,4906.44,41.76,0.85,6,short,nGS
MAS,-78,64.44,2025-07-15,65.56,5113.68,-87.36,-1.71,6,short,nGS
MRK,-61,81.52,2025-07-15,79.96,4877.56,95.16,1.95,6,short,nGS
MSFT,-10,496.62,2025-07-08,510.05,5100.5,-134.3,-2.63,13,short,nGS
MHK,-46,107.81,2025-07-15,111.17,5113.82,-154.56,-3.02,6,short,nGS
NDAQ,-56,88.59,2025-07-08,89.37,5004.72,-43.68,-0.87,13,short,nGS
NWS,-145,34.46,2025-07-18,34.46,4996.7,0.0,0.0,3,short,nGS
NOC,-10,488.8,2025-06-10,519.04,5190.4,-302.4,-5.83,41,short,nGS
PKG,-49,202.57,2025-07-16,199.81,9790.69,135.24,1.38,5,short,nGS
PARA,-389,12.84,2025-07-02,12.99,5053.11,-58.35,-1.15,19,short,nGS
PYPL,-68,73.07,2025-06-25,74.17,5043.56,-74.8,-1.48,26,short,nGS
PHM,-46,109.36,2025-07-03,108.66,4998.36,32.2,0.64,18,short,nGS
RJF,-32,157.28,2025-07-07,160.66,5141.12,-108.16,-2.1,14,short,nGS
REG,-144,69.56,2025-07-08,69.87,10061.28,-44.64,-0.44,13,short,nGS
SMCI,-95,52.75,2025-07-17,51.77,4918.15,93.1,1.89,4,short,nGS
TROW,-50,100.63,2025-07-15,105.77,5288.5,-257.0,-4.86,6,short,nGS
TPR,-50,100.67,2025-07-16,103.42,5171.0,-137.5,-2.66,5,short,nGS
