Date,Open,High,Low,Close,Volume
2024-12-20 05:00:00,290.11,295.15,289.95,294.02,4165832.0
2024-12-23 05:00:00,293.87,295.0,290.905,294.15,1388915.0
2024-12-24 05:00:00,293.2,297.07,293.0214,296.46,956029.0
2024-12-26 05:00:00,296.33,298.32,295.4,297.23,1403673.0
2024-12-27 05:00:00,295.96,298.285,295.11,296.18,1332042.0
2024-12-30 05:00:00,292.57,294.5,290.8,292.97,1161842.0
2024-12-31 05:00:00,294.01,294.205,291.57,292.73,980889.0
2025-01-02 05:00:00,293.83,295.15,288.55,289.65,1025445.0
2025-01-03 05:00:00,290.73,292.55,289.79,291.69,1044195.0
2025-01-06 05:00:00,289.15,290.32,285.86,287.13,1529209.0
2025-01-07 05:00:00,287.25,290.0,287.25,288.4,1451761.0
2025-01-08 05:00:00,288.51,292.05,288.51,291.89,1513069.0
2025-01-10 05:00:00,290.19,292.85,286.7,286.85,2292476.0
2025-01-13 05:00:00,285.69,290.475,285.48,290.2,1809436.0
2025-01-14 05:00:00,290.3,291.87,287.47,291.69,2321563.0
2025-01-15 05:00:00,294.02,295.2065,292.36,293.37,1764426.0
2025-01-16 05:00:00,291.84,297.61,291.805,296.23,1667520.0
2025-01-17 05:00:00,301.09,301.09,295.96,296.18,2408371.0
2025-01-21 05:00:00,296.44,299.1,296.44,298.15,1652323.0
2025-01-22 05:00:00,297.73,298.68,296.22,296.36,1627991.0
2025-01-23 05:00:00,296.24,297.18,293.68,295.8,1101951.0
2025-01-24 05:00:00,293.72,298.3,293.24,297.1,1205968.0
2025-01-27 05:00:00,294.7,301.08,294.7,300.15,1636236.0
2025-01-28 05:00:00,299.96,302.55,295.67,298.31,2469854.0
2025-01-29 05:00:00,304.14,311.6713,300.42,300.57,2764065.0
2025-01-30 05:00:00,303.52,307.84,301.0401,303.26,1367137.0
2025-01-31 05:00:00,301.79,305.1,301.18,303.01,2237741.0
2025-02-03 05:00:00,303.3,307.94,302.715,307.32,2169081.0
2025-02-04 05:00:00,304.14,305.625,302.9968,304.67,1256942.0
2025-02-05 05:00:00,305.63,308.2,303.92,308.15,1633876.0
2025-02-06 05:00:00,309.0,310.26,307.5075,308.97,1740375.0
2025-02-07 05:00:00,310.32,310.37,305.82,305.97,1387891.0
2025-02-10 05:00:00,308.24,308.36,306.475,306.93,902931.0
2025-02-11 05:00:00,307.56,307.56,304.3716,305.78,1150996.0
2025-02-12 05:00:00,304.14,306.75,302.8141,306.65,1559002.0
2025-02-13 05:00:00,306.0,310.58,305.0,310.22,1197848.0
2025-02-14 05:00:00,310.0,311.59,308.13,308.15,1101072.0
2025-02-18 05:00:00,310.28,311.47,307.775,309.95,1313190.0
2025-02-19 05:00:00,310.7,313.72,309.5,313.22,1407745.0
2025-02-20 05:00:00,311.97,312.89,309.76,311.97,1304472.0
2025-02-21 05:00:00,311.78,312.36,307.32,310.76,1600348.0
2025-02-24 05:00:00,310.62,314.06,310.12,312.2,1311864.0
2025-02-25 05:00:00,312.99,314.7,310.44,313.37,1880006.0
2025-02-26 05:00:00,312.74,315.2927,311.035,311.38,1443182.0
2025-02-27 05:00:00,311.98,314.115,310.24,311.3,1489919.0
2025-02-28 05:00:00,314.69,316.46,311.13,315.18,3289104.0
2025-03-03 05:00:00,316.01,320.5,315.7,318.64,1515358.0
2025-03-04 05:00:00,322.84,322.84,308.0,313.44,2388631.0
2025-03-05 05:00:00,311.38,313.9,309.39,310.43,3470989.0
2025-03-06 05:00:00,308.5,309.46,299.2438,302.46,2975314.0
2025-03-07 05:00:00,302.46,307.29,302.46,306.45,2293500.0
2025-03-10 04:00:00,306.2,309.34,301.575,302.99,2991382.0
2025-03-11 04:00:00,304.11,304.475,292.03,292.44,2923478.0
2025-03-12 04:00:00,292.78,294.78,290.1003,294.18,1959675.0
